,province,x,y
0,ACEH,-594.0, 201.0
1,SUMATERA UTARA,-529.0, 138.0
2,SUMATERA BARAT,-491.0, 62.0
3,RIAU,-455.0, 88.0
4,JAMBI,-430.0, 28.0
5,SUMATERA SELATAN,-388.0, -11.0
6,BENGKULU,-462.0, -42.0
7,LAMPUNG,-364.0, -61.0
8,KEPULAUAN BANGKA BELITUNG,-337.0, 12.0
9,KEPULAUAN RIAU,-381.0, 80.0
10,DKI JAKARTA,-318.0, -99.0
11,JAWA BARAT,-295.0, -117.0
12,JAWA TENGAH,-230.0, -130.0
13,DI YOGYAKARTA,-215.0, -164.0
14,JAWA TIMUR,-163.0, -139.0
15,BANTEN,-350.0, -120.0
16,BALI,-82.0, -165.0
17,NUSA TENGGARA BARAT,-18.0, -193.0
18,NUSA TENGGARA TIMUR,86.0, -150.0
19,KALIMANTAN BARAT,-191.0, 74.0
20,KALIMANTAN TENGAH,-129.0, 33.0
21,KALIMANTAN SELATAN,-75.0, -9.0
22,KALIMANTAN TIMUR,-20.0, 70.0
23,KALIMANTAN UTARA,-50.0, 148.0
24,SULAWESI UTARA,173.0, 105.0
25,SULAWESI TENGAH,95.0, 40.0
26,SULAWESI SELATAN,52.0, -70.0
27,SULAWESI TENGGARA,140.0, -40.0
28,GORONTALO,123.0, 70.0
29,SULAWESI BARAT,33.0, 3.0
30,MALUKU,310.0, -20.0
31,MALUKU UTARA,272.0, 90.0
32,PAPUA BARAT,410.0, 36.0
33,PAPUA,562.0, -35.0
